exonID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSMUSE00000363405,11.75044645,1.262456745,0.598697959,2.108670532,0.03497303,0.137502874,Sla2
ENSMUSE00000365239,20.96340382,1.32088597,0.48992585,2.696093644,0.007015794,0.039037438,Gpr1
ENSMUSE00000367618,63.44797182,2.211168584,0.467093905,4.733884469,2.20E-06,3.65E-05,Nfkbil1
ENSMUSE00000375155,5.665930772,1.754512006,0.788975167,2.223786095,0.026162839,0.110996405,Lxn
ENSMUSE00000377674,32.04576233,2.143559373,0.689695243,3.107980511,0.001883705,0.013239278,4930563M21Rik
ENSMUSE00000378889,8.599820087,3.529683797,1.161076006,3.04001097,0.002365695,0.016076742,Esco2
ENSMUSE00000383093,9.675468806,2.626155319,1.099268022,2.389003651,0.016894134,0.078494471,Ppp1r27
ENSMUSE00000384555,45.01699573,1.969883728,0.669814388,2.940939704,0.003272182,0.020991657,Gpr22
ENSMUSE00000386788,19.97039545,2.833724607,1.23810267,2.288763828,0.022093078,0.097286651,4930583I09Rik
ENSMUSE00000389247,83.93957895,1.497873209,0.269255711,5.563013704,2.65E-08,6.71E-07,Htr2b
ENSMUSE00000389466,34.61388853,2.551490476,0.49073805,5.199292114,2.00E-07,4.17E-06,Gm6583
ENSMUSE00000391738,57.38872677,1.927800432,0.382599354,5.038692336,4.69E-07,9.06E-06,Prodh
ENSMUSE00000391789,9.513187611,1.705850691,0.73555275,2.319141205,0.020387381,0.090964372,Hspa9
ENSMUSE00000393742,36.90984772,5.890694211,0.624247104,9.436478243,3.86E-21,6.21E-19,Pla1a
ENSMUSE00000395363,43.23984899,2.037401962,0.440660921,4.62351406,3.77E-06,5.92E-05,Pdcd2
ENSMUSE00000396973,59.26578754,1.334385943,0.357990764,3.727431203,0.000193441,0.001852465,Zfp784
ENSMUSE00000397134,4.401610098,2.494229125,1.019998701,2.445325787,0.014472135,0.069490746,Btbd7
ENSMUSE00000404286,405.7148376,0.805738538,0.219869871,3.664615512,0.00024771,0.002296478,Gpr18
ENSMUSE00000409338,32.59357878,4.021987866,0.636583235,6.318086374,2.65E-10,9.53E-09,Cxcl17
ENSMUSE00000412963,106.2175114,0.988958613,0.387653623,2.551139871,0.010737123,0.054850489,Gpr151
ENSMUSE00000413152,36.94164233,1.868876555,0.364842597,5.122418733,3.02E-07,6.11E-06,Ada
