"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030673","axolemma","1/51","21/23407",0.0447909525303724,0.179474052701121,0.137059648089607,"Thy1",1
"GO:0045121","membrane raft","3/51","364/23407",0.044897488224928,0.179474052701121,0.137059648089607,"Thy1/Rhoq/Prkca",3
"GO:0098857","membrane microdomain","3/51","365/23407",0.0452018901218749,0.179474052701121,0.137059648089607,"Thy1/Rhoq/Prkca",3
"GO:0001891","phagocytic cup","1/51","22/23407",0.0468740647094945,0.179474052701121,0.137059648089607,"Myo1g",1
"GO:0098589","membrane region","3/51","377/23407",0.0489354775550867,0.179474052701121,0.137059648089607,"Thy1/Rhoq/Prkca",3
"GO:0045120","pronucleus","1/51","23/23407",0.0489527229391211,0.179474052701121,0.137059648089607,"Ezh2",1
"GO:0030027","lamellipodium","2/51","164/23407",0.0497466606678108,0.179474052701121,0.137059648089607,"Cd44/Myo1g",2
"GO:0099523","presynaptic cytosol","1/51","24/23407",0.0510269365522795,0.179474052701121,0.137059648089607,"Prkca",1
"GO:0044452","nucleolar part","2/51","179/23407",0.0580946109649116,0.195048778863468,0.148953659813174,"Klf6/Malt1",2
"GO:0005942","phosphatidylinositol 3-kinase complex","1/51","28/23407",0.0592795308310539,0.195048778863468,0.148953659813174,"Cish",1
"GO:0044305","calyx of Held","1/51","29/23407",0.0613316606880886,0.195494668443282,0.149294174043374,"Prkca",1
"GO:0031225","anchored component of membrane","2/51","193/23407",0.0662921550241429,0.198876465072429,0.151876763832402,"Thy1/Izumo1r",2
"GO:0036464","cytoplasmic ribonucleoprotein granule","2/51","193/23407",0.0662921550241429,0.198876465072429,0.151876763832402,"Eif4enif1/Noct",2
"GO:0035770","ribonucleoprotein granule","2/51","204/23407",0.072988336273993,0.208196184650811,0.158993990342209,"Eif4enif1/Noct",2
"GO:0044306","neuron projection terminus","2/51","205/23407",0.0736076750598973,0.208196184650811,0.158993990342209,"Prkca/Ptger4",2
"GO:0032809","neuronal cell body membrane","1/51","36/23407",0.0755741910116629,0.208196184650811,0.158993990342209,"Thy1",1
"GO:0043209","myelin sheath","2/51","213/23407",0.0786235192450864,0.208196184650811,0.158993990342209,"Thy1/Bcl2",2
"GO:0044298","cell body membrane","1/51","38/23407",0.0796044235429573,0.208196184650811,0.158993990342209,"Thy1",1
"GO:0099522","region of cytosol","1/51","40/23407",0.0836174284610586,0.213224442575699,0.162833939634693,"Prkca",1
"GO:0000307","cyclin-dependent protein kinase holoenzyme complex","1/51","42/23407",0.0876132779403928,0.217964740241953,0.166453981196125,"Cdk6",1
"GO:0034707","chloride channel complex","1/51","45/23407",0.0935750428645595,0.22523698087464,0.172007601493533,"Clic4",1
"GO:0031965","nuclear membrane","2/51","238/23407",0.0949528448785246,0.22523698087464,0.172007601493533,"Bcl2/Ptger4",2
"GO:0032590","dendrite membrane","1/51","47/23407",0.0975283175690307,0.225530185055257,0.172231513870888,"Thy1",1
"GO:0031519","PcG protein complex","1/51","48/23407",0.0994986110537899,0.225530185055257,0.172231513870888,"Ezh2",1
"GO:0016459","myosin complex","1/51","60/23407",0.122815691596626,0.272330446583822,0.20797165167392,"Myo1g",1
"GO:0014704","intercalated disc","1/51","62/23407",0.126643891697517,0.274844190492483,0.209891332264642,"Prkca",1
"GO:0005912","adherens junction","2/51","291/23407",0.13231446696801,0.281168242307021,0.214720845518262,"Frmd4b/Fes",2
"GO:0031253","cell projection membrane","2/51","296/23407",0.135997964856677,0.281582182542638,0.215036960868474,"Thy1/Cd44",2
"GO:0032589","neuron projection membrane","1/51","68/23407",0.138030481638548,0.281582182542638,0.215036960868474,"Thy1",1
"GO:0070161","anchoring junction","2/51","305/23407",0.142686394680165,0.285372789360331,0.217931748324711,"Frmd4b/Fes",2
"GO:0019898","extrinsic component of membrane","2/51","311/23407",0.147184702633933,0.286159679154459,0.218532675515273,"Cish/Fes",2
"GO:0016324","apical plasma membrane","2/51","313/23407",0.148690813678297,0.286159679154459,0.218532675515273,"Thy1/Cd44",2
"GO:0001750","photoreceptor outer segment","1/51","79/23407",0.158529105334117,0.299443865631109,0.22867746188547,"Prkca",1
"GO:1902554","serine/threonine protein kinase complex","1/51","82/23407",0.164036190509384,0.3021094674532,0.230713112399761,"Cdk6",1
"GO:0044291","cell-cell contact zone","1/51","83/23407",0.165864021346855,0.3021094674532,0.230713112399761,"Prkca",1
"GO:0044304","main axon","1/51","86/23407",0.171324036684799,0.306579855120167,0.234127030741924,"Thy1",1
"GO:0016363","nuclear matrix","1/51","88/23407",0.174944564708213,0.307661131038582,0.234952772929361,"Clic4",1
"GO:0030175","filopodium","1/51","91/23407",0.180346296901496,0.311785123456823,0.23810215826424,"Myo1g",1
"GO:0035097","histone methyltransferase complex","1/51","94/23407",0.185713352329395,0.315712698959972,0.24110154512939,"Ezh2",1
"GO:0031234","extrinsic component of cytoplasmic side of plasma membrane","1/51","97/23407",0.191045949177458,0.315849667216003,0.241206144210364,"Fes",1
"GO:0150034","distal axon","2/51","369/23407",0.191987052621492,0.315849667216003,0.241206144210364,"Thy1/Prkca",2
"GO:0043235","receptor complex","2/51","395/23407",0.212645059671786,0.335672105257275,0.256344022590695,"Cd44/Il12rb2",2
"GO:0000781","chromosome, telomeric region","1/51","110/23407",0.213760943557081,0.335672105257275,0.256344022590695,"Ezh2",1
"GO:0097733","photoreceptor cell cilium","1/51","111/23407",0.215482117608615,0.335672105257275,0.256344022590695,"Prkca",1
"GO:0097731","9+0 non-motile cilium","1/51","112/23407",0.217199597519413,0.335672105257275,0.256344022590695,"Prkca",1
"GO:0005635","nuclear envelope","2/51","409/23407",0.223864781875837,0.336417435067332,0.256913211506528,"Bcl2/Ptger4",2
"GO:0034708","methyltransferase complex","1/51","118/23407",0.227427334055561,0.336417435067332,0.256913211506528,"Ezh2",1
"GO:0034399","nuclear periphery","1/51","119/23407",0.229119171659716,0.336417435067332,0.256913211506528,"Clic4",1
"GO:0005923","bicellular tight junction","1/51","121/23407",0.232491957240569,0.336417435067332,0.256913211506528,"Frmd4b",1
"GO:0005884","actin filament","1/51","122/23407",0.234172920488045,0.336417435067332,0.256913211506528,"Rhoq",1
"GO:0070160","tight junction","1/51","128/23407",0.244183164927669,0.345926150314198,0.264174769073794,"Frmd4b",1
"GO:0033267","axon part","2/51","446/23407",0.253722469137624,0.354516326740242,0.270734862526087,"Thy1/Prkca",2
"GO:0030496","midbody","1/51","139/23407",0.262203186685587,0.360990231246133,0.275678814367532,"Clic4",1
"GO:0043296","apical junction complex","1/51","141/23407",0.265433993563333,0.360990231246133,0.275678814367532,"Frmd4b",1
"GO:0097730","non-motile cilium","1/51","148/23407",0.276632962310775,0.371270554680251,0.283529628961182,"Prkca",1
"GO:0005925","focal adhesion","1/51","151/23407",0.281381119782801,0.372738626205788,0.284650756854781,"Fes",1
"GO:0015629","actin cytoskeleton","2/51","488/23407",0.287752700097356,0.375445149065486,0.286717657697069,"Rhoq/Myo1g",2
"GO:0005924","cell-substrate adherens junction","1/51","157/23407",0.290785948786014,0.375445149065486,0.286717657697069,"Fes",1
"GO:0009898","cytoplasmic side of plasma membrane","1/51","162/23407",0.298531038669355,0.379799899100311,0.290043266598793,"Fes",1
"GO:0030055","cell-substrate junction","1/51","164/23407",0.301605802226718,0.379799899100311,0.290043266598793,"Fes",1
"GO:0098562","cytoplasmic side of membrane","1/51","179/23407",0.324249137739336,0.403334293285515,0.308015868969331,"Fes",1
"GO:0043679","axon terminus","1/51","183/23407",0.33016478582057,0.404482870709582,0.308893007559433,"Prkca",1
"GO:0019897","extrinsic component of plasma membrane","1/51","185/23407",0.333103540584362,0.404482870709582,0.308893007559433,"Fes",1
"GO:0043197","dendritic spine","1/51","192/23407",0.343289980273441,0.411947976328129,0.314593913810955,"Dock10",1
"GO:0044309","neuron spine","1/51","197/23407",0.350472456975122,0.415676635017005,0.317441393098641,"Dock10",1
"GO:0030426","growth cone","1/51","203/23407",0.358989818961818,0.420884615334545,0.321418591689952,"Thy1",1
"GO:0030427","site of polarized growth","1/51","206/23407",0.363207340346995,0.42099032631129,0.321499320402843,"Thy1",1
"GO:0016323","basolateral plasma membrane","1/51","227/23407",0.391977710522127,0.449232881721988,0.343067422574068,"Cd44",1
"GO:0000151","ubiquitin ligase complex","1/51","283/23407",0.46261251441586,0.524294183004642,0.400389778558756,"Rnf19b",1
"GO:0034702","ion channel complex","1/51","294/23407",0.47550974463327,0.528906471461394,0.403912062829135,"Clic4",1
"GO:0098687","chromosomal region","1/51","298/23407",0.480124000390986,0.528906471461394,0.403912062829135,"Ezh2",1
"GO:0044445","cytosolic part","1/51","300/23407",0.482416180187565,0.528906471461394,0.403912062829135,"Prkca",1
"GO:0005938","cell cortex","1/51","309/23407",0.492608968517965,0.528906471461394,0.403912062829135,"Rhoq",1
"GO:1902495","transmembrane transporter complex","1/51","309/23407",0.492608968517965,0.528906471461394,0.403912062829135,"Clic4",1
"GO:1990351","transporter complex","1/51","316/23407",0.500400395126097,0.531675419821478,0.406026636396175,"Clic4",1
"GO:0000790","nuclear chromatin","1/51","404/23407",0.588889225023061,0.619244339714971,0.472900734147656,"Ezh2",1
"GO:0005874","microtubule","1/51","419/23407",0.602355216188556,0.623313124419968,0.476007958793371,"Rmdn3",1
"GO:0005764","lysosome","1/51","428/23407",0.610226227630162,0.623313124419968,0.476007958793371,"Rnf19b",1
"GO:0000323","lytic vacuole","1/51","429/23407",0.611091298450949,0.623313124419968,0.476007958793371,"Rnf19b",1
"GO:0044441","ciliary part","1/51","452/23407",0.630476424483411,0.636718765319881,0.486245496735513,"Prkca",1
"GO:0099568","cytoplasmic region","1/51","468/23407",0.643399703037538,0.643399703037538,0.491347554435272,"Rhoq",1
