ID,count
ENSMUSE00001343310,1
ENSMUSE00001340299,0
ENSMUSE00001345086,0
ENSMUSE00000338358,1004
ENSMUSE00000937881,244
ENSMUSE00001338027,962
ENSMUSE00001315382,6
ENSMUSE00001305549,33
ENSMUSE00001296385,124
ENSMUSE00001261540,213
ENSMUSE00000929445,21
ENSMUSE00001304613,581
ENSMUSE00001220900,246
ENSMUSE00001297426,123
ENSMUSE00001342506,12
ENSMUSE00000362829,61
ENSMUSE00001333722,36
ENSMUSE00000156007,613
ENSMUSE00001331717,613
ENSMUSE00001330752,568
ENSMUSE00001315707,4
ENSMUSE00001332205,266
ENSMUSE00001341912,206
ENSMUSE00001320552,82
ENSMUSE00001322208,16
ENSMUSE00001344612,230
ENSMUSE00001245826,275
ENSMUSE00000839612,224
ENSMUSE00001248677,36
ENSMUSE00001039245,197
ENSMUSE00001337714,8
ENSMUSE00001338792,0
ENSMUSE00001341871,82
ENSMUSE00001338652,140
ENSMUSE00001377335,67
ENSMUSE00001378901,54
ENSMUSE00001376686,105
ENSMUSE00001377105,133
ENSMUSE00001377761,122
ENSMUSE00001380326,85
ENSMUSE00001380537,34
ENSMUSE00001378268,54
ENSMUSE00001377331,21
ENSMUSE00000701348,257
ENSMUSE00001344994,245
ENSMUSE00001338008,40
ENSMUSE00001339049,35
ENSMUSE00001373664,99
ENSMUSE00000701335,37
ENSMUSE00000755395,15
ENSMUSE00001338256,15
ENSMUSE00001338864,13
ENSMUSE00000360812,15
ENSMUSE00001338063,12
ENSMUSE00000862750,291
ENSMUSE00000858698,18
ENSMUSE00001320377,168
ENSMUSE00000550288,169
ENSMUSE00000853939,110
ENSMUSE00001226304,59
ENSMUSE00001340103,0
ENSMUSE00001117170,0
ENSMUSE00001153502,1
ENSMUSE00000355789,1631
ENSMUSE00001343561,1631
ENSMUSE00001324402,234
ENSMUSE00001334254,31
ENSMUSE00000155925,61
ENSMUSE00000155912,42
ENSMUSE00001322647,62
ENSMUSE00001339583,1090
ENSMUSE00001336407,7
ENSMUSE00001342389,50
ENSMUSE00001338021,60
ENSMUSE00000713362,7
ENSMUSE00001338755,0
ENSMUSE00001343130,0
ENSMUSE00000732437,0
ENSMUSE00001343627,0
ENSMUSE00000834104,0
ENSMUSE00000345288,106
ENSMUSE00001339618,7
ENSMUSE00000228713,572
ENSMUSE00000743756,585
ENSMUSE00000840871,536
ENSMUSE00000228692,325
ENSMUSE00001309016,241
ENSMUSE00001343873,42
ENSMUSE00000738172,35
ENSMUSE00001342315,10
ENSMUSE00001340856,29
ENSMUSE00000868119,23
ENSMUSE00000869146,12
ENSMUSE00000913895,10
ENSMUSE00001345380,0
ENSMUSE00000497115,35
ENSMUSE00000995442,30
ENSMUSE00001077263,34
ENSMUSE00000823852,1
ENSMUSE00000828703,85
ENSMUSE00001291868,59
ENSMUSE00000731887,8
ENSMUSE00000742205,15
ENSMUSE00000731449,46
ENSMUSE00000603611,1
ENSMUSE00000498951,0
ENSMUSE00000838861,0
ENSMUSE00001336598,136
ENSMUSE00001276848,108
ENSMUSE00000433203,108
ENSMUSE00001267966,97
ENSMUSE00001339383,11
ENSMUSE00000492869,715
ENSMUSE00001345400,309
ENSMUSE00001340402,11
ENSMUSE00001345849,13
ENSMUSE00000155627,136
ENSMUSE00000155612,118
ENSMUSE00001339697,57
ENSMUSE00001336374,15
ENSMUSE00001342737,35
ENSMUSE00000399269,383
ENSMUSE00000603567,7709
ENSMUSE00001345829,8625
ENSMUSE00001265271,97
ENSMUSE00001343745,6881
ENSMUSE00000630219,3195
ENSMUSE00000831500,5
ENSMUSE00000603484,2
ENSMUSE00001336694,0
ENSMUSE00001055408,76
ENSMUSE00001344495,76
ENSMUSE00000603475,15
ENSMUSE00000996275,76
ENSMUSE00001370480,60
ENSMUSE00001344257,28
ENSMUSE00001342537,1
ENSMUSE00001342135,1
ENSMUSE00001316007,0
ENSMUSE00000941041,0
ENSMUSE00000516148,33
ENSMUSE00001346249,0
ENSMUSE00000512148,33
ENSMUSE00001342713,0
ENSMUSE00001340719,0
ENSMUSE00000746709,31
ENSMUSE00000664669,1
ENSMUSE00000443689,279
ENSMUSE00000391885,266
ENSMUSE00000754047,47
ENSMUSE00001344139,152
ENSMUSE00000522161,4
ENSMUSE00001342141,0
ENSMUSE00000443641,4
