Sample	Unique Reads	Duplicate Reads
337-5_S9_L001_R2_001	5158500.0	1205281.0
337-5_S9_L002_R1_001	5030752.0	1135940.0
337-5_S9_L002_R2_001	5003958.0	1162734.0
337-5_S9_L003_R1_001	5184971.0	1208074.0
337-5_S9_L003_R2_001	5151761.0	1241284.0
337-5_S9_L004_R1_001	5073616.0	1169951.0
337-5_S9_L004_R2_001	5040774.0	1202793.0
337-6_S15_L001_R1_001	4270827.0	1340099.0
337-6_S15_L001_R2_001	4242334.0	1368592.0
337-6_S15_L002_R1_001	4139042.0	1277441.0
337-6_S15_L002_R2_001	4110869.0	1305614.0
337-6_S15_L003_R1_001	4259835.0	1354400.0
337-6_S15_L003_R2_001	4234769.0	1379466.0
337-6_S15_L004_R1_001	4170701.0	1313662.0
337-6_S15_L004_R2_001	4148159.0	1336204.0
337-7_S8_L001_R1_001	1700645.0	1780250.0
337-7_S8_L001_R2_001	1697172.0	1783723.0
337-7_S8_L002_R1_001	1646712.0	1717010.0
337-7_S8_L002_R2_001	1644830.0	1718892.0
337-7_S8_L003_R1_001	1694814.0	1800260.0
337-7_S8_L003_R2_001	1689450.0	1805624.0
337-7_S8_L004_R1_001	1656940.0	1750343.0
337-7_S8_L004_R2_001	1657910.0	1749373.0
337-8_S14_L001_R1_001	4345466.0	1354355.0
337-8_S14_L001_R2_001	4323799.0	1376022.0
337-8_S14_L002_R1_001	4206255.0	1299254.0
337-8_S14_L002_R2_001	4180574.0	1324935.0
337-8_S14_L003_R1_001	4339775.0	1374378.0
337-8_S14_L003_R2_001	4300730.0	1413423.0
337-8_S14_L004_R1_001	4246827.0	1326044.0
337-8_S14_L004_R2_001	4214124.0	1358747.0
337-9_S23_L001_R1_001	2061945.0	1827478.0
337-9_S23_L001_R2_001	2060032.0	1829391.0
337-9_S23_L002_R1_001	2001589.0	1763815.0
337-9_S23_L002_R2_001	1999330.0	1766074.0
337-9_S23_L003_R1_001	2057670.0	1852232.0
337-9_S23_L003_R2_001	2050453.0	1859449.0
337-9_S23_L004_R1_001	2012434.0	1797261.0
337-9_S23_L004_R2_001	2008031.0	1801664.0
