name,KO_0h_rep1_dupr_R,KO_0h_rep2_dupr_R,KO_0h_rep3_dupr_R,KO_24h_rep1_dupr_R,KO_24h_rep2_dupr_R,KO_24h_rep3_dupr_R,KO_48h_rep1_dupr_R,KO_48h_rep2_dupr_R,KO_48h_rep3_dupr_R,KO_6h_rep1_dupr_R,KO_6h_rep2_dupr_R,WT_0h_rep1_dupr_R,WT_0h_rep2_dupr_R,WT_0h_rep3_dupr_R,WT_24h_rep1_dupr_R,WT_24h_rep2_dupr_R,WT_24h_rep3_dupr_R,WT_48h_rep1_dupr_R,WT_48h_rep2_dupr_R,WT_48h_rep3_dupr_R,WT_6h_rep1_dupr_R,WT_6h_rep2_dupr_R,WT_6h_rep3_dupr_R
ENSMUSE00000114734,0,2,2,0,3,0,5,5,1,3,0,2,0,6,0,0,0,1,5,2,3,0,1
ENSMUSE00000114833,372,255,312,80,182,143,235,224,121,454,28,568,196,300,134,56,82,136,207,150,304,184,277
ENSMUSE00000116437,236,219,139,27,109,53,87,118,46,105,12,267,180,169,46,40,60,69,89,58,71,58,102
ENSMUSE00000116544,2,8,8,2,0,1,2,0,0,0,2,6,0,1,0,1,0,1,0,0,4,0,0
ENSMUSE00000116545,17,0,1,5,2,2,9,0,0,35,9,10,0,5,0,2,1,3,0,0,60,5,5
ENSMUSE00000116561,5,0,0,1,0,1,5,0,0,8,4,3,0,3,0,0,0,2,0,0,4,0,1
ENSMUSE00000117099,1,3,0,2,1,4,3,2,2,2,0,8,2,2,2,1,2,2,0,1,3,0,0
ENSMUSE00000117248,2,0,0,1,0,0,3,0,0,2,3,3,0,0,0,1,0,1,0,0,9,0,0
ENSMUSE00000117507,0,0,1,1,2,1,15,6,5,0,0,0,1,0,1,2,0,12,5,9,0,0,0
ENSMUSE00000117583,1,0,0,1,1,0,7,0,0,3,1,1,1,0,0,0,0,0,0,0,3,0,0
ENSMUSE00000117691,11,0,2,10,0,1,9,0,0,25,7,8,0,4,0,1,1,1,2,0,31,3,1
ENSMUSE00000118380,3,1,3,2,3,7,2,4,1,7,1,1,3,2,1,2,0,1,2,0,4,0,2
ENSMUSE00000118854,865,302,263,138,344,250,1106,984,365,533,19,1578,162,365,129,124,161,611,836,427,284,182,311
ENSMUSE00000119259,10,4,1,5,21,13,39,39,15,13,7,18,1,3,6,6,7,35,92,21,17,2,9
ENSMUSE00000119318,147,18,5,50,5,11,54,2,5,173,37,86,14,35,4,6,6,30,6,5,313,17,10
ENSMUSE00000119469,8,1,0,6,2,0,6,1,0,21,2,8,0,1,0,1,0,3,0,0,34,2,1
ENSMUSE00000119489,12,1,0,1,0,2,4,1,1,2,5,2,0,2,0,0,0,1,8,1,8,1,1
ENSMUSE00000119919,725,252,442,39,84,68,218,183,119,15,2,1106,151,543,31,44,47,179,133,142,26,4,18
ENSMUSE00000120006,1,0,1,1,0,0,4,0,0,8,0,1,1,1,0,1,0,0,1,1,2,0,1
ENSMUSE00000120308,0,0,0,2,0,0,0,0,0,9,3,1,0,0,0,0,0,0,0,0,3,1,1
ENSMUSE00000120336,6,0,3,3,0,1,4,0,0,3,1,15,0,2,0,2,0,0,0,1,2,1,0
ENSMUSE00000120626,4,0,0,1,0,0,2,0,0,6,0,4,0,1,0,0,1,1,0,0,3,0,0
ENSMUSE00000120729,0,7,9,5,25,14,6,4,4,32,4,15,4,5,10,6,21,1,4,6,46,27,32
ENSMUSE00000121871,4,2,0,4,0,0,2,0,1,5,1,2,2,1,0,0,0,1,0,1,10,2,2
ENSMUSE00000122506,102,57,75,5,11,4,7,12,6,23,7,148,39,89,3,3,4,9,2,5,9,9,13
ENSMUSE00000122742,5,5,2,1,6,4,7,5,2,9,1,5,2,2,3,1,2,1,2,2,19,0,2
ENSMUSE00000122842,10,1,1,9,1,0,4,1,0,18,7,12,0,1,1,0,1,3,0,0,32,4,3
ENSMUSE00000122860,12,0,0,6,1,0,2,2,2,11,4,2,1,1,0,1,1,3,8,6,20,6,2
ENSMUSE00000123685,9,7,2,1,0,1,1,2,0,0,0,13,1,8,0,1,0,0,0,0,0,0,1
ENSMUSE00000123775,8,0,0,1,0,0,4,3,1,2,4,12,0,1,0,0,1,6,1,1,13,0,0
ENSMUSE00000124452,1,1,0,0,0,0,0,0,0,1,1,0,6,0,1,0,0,1,2,0,1,0,0
ENSMUSE00000125340,6,0,0,0,0,1,5,1,0,7,1,1,0,0,0,0,1,2,2,1,1,0,1
ENSMUSE00000125782,5,47,34,7,7,2,13,0,2,2,0,45,49,53,2,0,1,4,8,4,9,3,2
ENSMUSE00000126665,9,2,0,5,1,0,8,0,0,7,4,4,0,0,2,0,3,3,2,0,11,1,0
ENSMUSE00000127614,103,17,7,37,5,7,42,3,2,122,35,60,10,14,4,2,1,16,3,3,185,9,19
ENSMUSE00000128245,29,14,24,4,7,12,9,11,5,24,6,38,4,23,9,8,4,4,6,3,9,10,7
ENSMUSE00000129392,3,0,0,0,0,0,0,0,0,9,2,0,0,0,0,1,0,0,0,0,5,0,0
ENSMUSE00000130177,4,3,4,3,2,0,8,3,2,2,0,4,2,0,2,5,1,0,7,1,2,1,2
ENSMUSE00000130561,1,1,0,0,2,2,2,7,0,3,1,0,2,0,0,1,1,4,1,7,3,1,1
ENSMUSE00000131471,1,0,1,4,0,0,1,0,0,7,4,2,0,0,0,0,0,1,0,0,4,0,1
ENSMUSE00000131612,1,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,2,1,0
ENSMUSE00000131907,4,1,3,0,1,1,2,0,0,5,0,6,4,8,0,0,0,1,1,2,1,1,0
ENSMUSE00000132163,7,6,4,1,5,0,2,1,1,4,0,12,1,5,3,3,4,6,6,3,5,1,2
ENSMUSE00000133829,8,1,0,1,5,3,1,3,4,5,1,6,3,2,4,5,4,1,4,5,7,6,16
ENSMUSE00000134894,1,1,3,2,1,0,3,2,1,2,1,0,1,2,1,1,0,7,5,2,4,0,1
ENSMUSE00000135620,14,0,1,2,1,1,9,0,0,5,0,1,1,1,2,0,0,1,0,0,8,0,0
ENSMUSE00000136590,5,0,0,1,0,0,2,1,0,9,1,1,0,1,2,0,1,1,1,1,3,0,1
ENSMUSE00000138191,10,0,0,2,0,1,7,0,0,6,1,2,0,2,0,1,2,2,1,1,14,3,0
ENSMUSE00000138228,7,3,2,2,2,1,2,2,0,2,0,11,2,5,1,0,0,2,2,0,3,2,1
ENSMUSE00000138838,4,0,0,0,1,0,1,0,0,7,4,5,0,4,0,0,0,2,0,1,8,0,1
ENSMUSE00000140062,7,0,0,0,0,0,2,0,1,5,0,1,1,1,0,0,0,1,0,0,3,0,1
ENSMUSE00000140206,17,8,1,8,1,0,8,1,0,27,9,10,3,4,2,1,1,6,1,0,50,6,1
ENSMUSE00000140268,7,17,9,4,8,7,5,1,2,29,4,9,14,5,6,0,5,0,8,1,28,27,25
ENSMUSE00000140787,2,3,3,11,22,19,9,2,5,14,6,1,1,2,5,24,11,7,6,9,26,11,15
ENSMUSE00000140814,10,0,0,0,2,0,2,1,0,4,1,4,1,0,0,0,1,0,0,0,7,2,0
ENSMUSE00000141577,11,9,2,12,33,33,17,14,3,63,14,18,9,9,10,6,15,11,18,33,27,31,62
ENSMUSE00000142550,5,1,0,2,0,6,1,3,1,1,5,2,4,0,0,1,1,1,0,1,4,0,1
ENSMUSE00000142665,9,2,0,2,0,1,3,1,0,16,6,7,3,2,1,0,0,0,1,0,25,1,1
ENSMUSE00000142726,16,0,0,2,0,0,1,0,0,11,5,4,0,4,0,0,0,2,0,1,34,3,1
ENSMUSE00000143543,1,0,0,2,0,0,0,0,0,13,1,4,0,1,0,0,0,1,0,0,2,0,0
ENSMUSE00000143882,55,56,44,29,66,42,45,38,33,134,47,65,69,65,34,63,43,85,78,48,110,108,87
ENSMUSE00000144356,1043,929,293,532,629,449,2927,2580,1636,1067,70,1085,492,268,96,114,123,742,1335,804,246,117,204
ENSMUSE00000144371,13,1,1,4,6,1,3,2,1,7,4,27,1,9,1,0,2,10,4,7,15,6,3
