gs_name,gene_symbol
WTvsKO_24h_dn,Tmem38b
WTvsKO_24h_dn,8030451A03Rik
WTvsKO_24h_dn,Dhrs3
WTvsKO_24h_dn,Cenpa
WTvsKO_24h_dn,Ablim2
WTvsKO_24h_dn,Kit
WTvsKO_24h_dn,Stap1
WTvsKO_24h_dn,A930024E05Rik
WTvsKO_24h_dn,Zfp862-ps
WTvsKO_24h_dn,Lockd
WTvsKO_24h_dn,Pde8a
WTvsKO_24h_dn,Gdpd5
WTvsKO_24h_dn,Trim34a
WTvsKO_24h_dn,Arntl
WTvsKO_24h_dn,Klf2
WTvsKO_24h_dn,Casp1
WTvsKO_24h_dn,Casp4
WTvsKO_24h_dn,Sesn3
WTvsKO_24h_dn,Cadm1
WTvsKO_24h_dn,Rora
WTvsKO_24h_dn,Myo1e
WTvsKO_24h_dn,Gm15891
WTvsKO_24h_dn,Ccr9
WTvsKO_24h_dn,Sgk1
WTvsKO_24h_dn,Samd3
WTvsKO_24h_dn,Scml4
WTvsKO_24h_dn,Chst11
WTvsKO_24h_dn,Nsg2
WTvsKO_24h_dn,Gm45883
WTvsKO_24h_dn,Mmd
WTvsKO_24h_dn,Wnt3
WTvsKO_24h_dn,Itgb3
WTvsKO_24h_dn,Gm36723
WTvsKO_24h_dn,Gm26839
WTvsKO_24h_dn,Serpina3f
WTvsKO_24h_dn,Serpina3g
WTvsKO_24h_dn,Cmah
WTvsKO_24h_dn,Ankrd55
WTvsKO_24h_dn,Erc2
WTvsKO_24h_dn,Fyb
WTvsKO_24h_dn,Cpq
WTvsKO_24h_dn,Tg
WTvsKO_24h_dn,Apol7e
WTvsKO_24h_dn,Gm19585
WTvsKO_24h_dn,Ehd3
WTvsKO_24h_dn,Galm
WTvsKO_24h_dn,Gramd3
WTvsKO_24h_dn,Ldlrad4
WTvsKO_24h_dn,Ms4a4c
WTvsKO_24h_dn,Ms4a4b
WTvsKO_24h_dn,Ms4a6c
WTvsKO_24h_dn,Gm8369
WTvsKO_24h_dn,Ms4a6b
WTvsKO_24h_dn,Trpm6
WTvsKO_24h_dn,Cxcr4
WTvsKO_24h_dn,Fasl
WTvsKO_24h_dn,Rcsd1
WTvsKO_24h_dn,Ifi214
WTvsKO_24h_dn,Ifi213
WTvsKO_24h_dn,Mndal
WTvsKO_24h_dn,Ifi211
WTvsKO_24h_dn,Ifi203
WTvsKO_24h_dn,Cd44
WTvsKO_24h_dn,Nol4l
WTvsKO_24h_dn,Cd160
WTvsKO_24h_dn,Cd101
WTvsKO_24h_dn,S1pr1
WTvsKO_24h_dn,St6galnac3
WTvsKO_24h_dn,1700015C17Rik
WTvsKO_24h_dn,Igfbp7
WTvsKO_24h_dn,Rasgef1b
WTvsKO_24h_dn,Abcg3
WTvsKO_24h_dn,Gm20559
WTvsKO_24h_dn,Samd9l
WTvsKO_24h_dn,Nod1
WTvsKO_24h_dn,Apobec1
WTvsKO_24h_dn,St8sia1
WTvsKO_24h_dn,Lrrk1
WTvsKO_24h_dn,Pgpep1l
WTvsKO_24h_dn,Ntrk3
WTvsKO_24h_dn,Trim12a
WTvsKO_24h_dn,Il15
WTvsKO_24h_dn,Endod1
WTvsKO_24h_dn,Kdm4d
WTvsKO_24h_dn,Gm27162
WTvsKO_24h_dn,Nrgn
WTvsKO_24h_dn,Crtam
WTvsKO_24h_dn,Tln2
WTvsKO_24h_dn,Bcl2a1d
WTvsKO_24h_dn,Ipcef1
WTvsKO_24h_dn,Gm33728
WTvsKO_24h_dn,Gm26740
WTvsKO_24h_dn,Cdh23
WTvsKO_24h_dn,Adamts14
WTvsKO_24h_dn,Pald1
WTvsKO_24h_dn,Kcnmb4
WTvsKO_24h_dn,Ifngas1
WTvsKO_24h_dn,Eldr
WTvsKO_24h_dn,Plek
WTvsKO_24h_dn,Gm12185
WTvsKO_24h_dn,9930111J21Rik1
WTvsKO_24h_dn,9930111J21Rik2
WTvsKO_24h_dn,Kcnk10
WTvsKO_24h_dn,Ryr2
WTvsKO_24h_dn,Gm11342
WTvsKO_24h_dn,Nrn1
WTvsKO_24h_dn,Colq
WTvsKO_24h_dn,Gm49387
WTvsKO_24h_dn,Phf11b
WTvsKO_24h_dn,Rgcc
WTvsKO_24h_dn,Tbc1d4
WTvsKO_24h_dn,Sntb1
WTvsKO_24h_dn,Asap1
WTvsKO_24h_dn,Kcnq3
WTvsKO_24h_dn,Tmem71
WTvsKO_24h_dn,Sla
WTvsKO_24h_dn,Card10
WTvsKO_24h_dn,Bcl6
WTvsKO_24h_dn,Cd86
WTvsKO_24h_dn,Nfkbiz
WTvsKO_24h_dn,Runx1
WTvsKO_24h_dn,Galnt14
WTvsKO_24h_dn,Xdh
WTvsKO_24h_dn,Ticam2
WTvsKO_24h_dn,AC132320.1
WTvsKO_24h_dn,AC124502.5
WTvsKO_24h_dn,Gm8189
WTvsKO_24h_dn,BE692007
WTvsKO_24h_dn,Tjp2
WTvsKO_24h_dn,Arhgef9
WTvsKO_24h_dn,Itm2a
WTvsKO_48h_up,Gm4849
WTvsKO_48h_up,Dst
WTvsKO_48h_up,Arid5a
WTvsKO_48h_up,Il18r1
WTvsKO_48h_up,Fzd7
WTvsKO_48h_up,Rpl18-ps1
WTvsKO_48h_up,Icos
WTvsKO_48h_up,Snora41
WTvsKO_48h_up,Ttll4
WTvsKO_48h_up,Cyb5r1
WTvsKO_48h_up,Snord80
WTvsKO_48h_up,Selp
WTvsKO_48h_up,Cdc42bpa
WTvsKO_48h_up,Ptpn14
WTvsKO_48h_up,Batf3
WTvsKO_48h_up,Itih5
WTvsKO_48h_up,Il2ra
WTvsKO_48h_up,Gm37881
WTvsKO_48h_up,Vim
WTvsKO_48h_up,Hspa5
WTvsKO_48h_up,Dab2ip
WTvsKO_48h_up,Nek6
WTvsKO_48h_up,Gm13522
WTvsKO_48h_up,Gpd2
WTvsKO_48h_up,Gm13546
WTvsKO_48h_up,Timm10
WTvsKO_48h_up,Chac1
WTvsKO_48h_up,Polr1b
WTvsKO_48h_up,Dnmt3b
WTvsKO_48h_up,Gm15417
WTvsKO_48h_up,Gm5544
WTvsKO_48h_up,Ampd1
WTvsKO_48h_up,Ppm1j
WTvsKO_48h_up,Cnn3
WTvsKO_48h_up,Gm42929
WTvsKO_48h_up,Slc39a8
WTvsKO_48h_up,Syde2
WTvsKO_48h_up,Chd7
WTvsKO_48h_up,Rragd
WTvsKO_48h_up,Nr4a3
WTvsKO_48h_up,Cct3-ps1
WTvsKO_48h_up,Hivep3
WTvsKO_48h_up,Ppt1
WTvsKO_48h_up,Rnf19b
WTvsKO_48h_up,Yars
WTvsKO_48h_up,Adgrb2
WTvsKO_48h_up,Snord99
WTvsKO_48h_up,Srm
WTvsKO_48h_up,Tnfrsf4
WTvsKO_48h_up,Cdk6
WTvsKO_48h_up,Yes1
WTvsKO_48h_up,Fgfr3
WTvsKO_48h_up,Rbpj
WTvsKO_48h_up,Amz1
WTvsKO_48h_up,Gm8579
WTvsKO_48h_up,Tes
WTvsKO_48h_up,2210408F21Rik
WTvsKO_48h_up,Repin1
WTvsKO_48h_up,AI854703
WTvsKO_48h_up,Tnip3
WTvsKO_48h_up,Gng12
WTvsKO_48h_up,Smyd5
WTvsKO_48h_up,Fbln2
WTvsKO_48h_up,Chl1
WTvsKO_48h_up,Gm44206
WTvsKO_48h_up,Dmwd
WTvsKO_48h_up,Dmpk
WTvsKO_48h_up,4732471J01Rik
WTvsKO_48h_up,Lins1
WTvsKO_48h_up,Aen
WTvsKO_48h_up,Lrrc32
WTvsKO_48h_up,Tead1
WTvsKO_48h_up,Tacc2
WTvsKO_48h_up,Bc1
WTvsKO_48h_up,9530052E02Rik
WTvsKO_48h_up,Tex15
WTvsKO_48h_up,Ppp1r3b
WTvsKO_48h_up,Mfhas1
WTvsKO_48h_up,Prag1
WTvsKO_48h_up,Acsl1
WTvsKO_48h_up,AW046200
WTvsKO_48h_up,Gm45356
WTvsKO_48h_up,Naf1
WTvsKO_48h_up,Pde4c
WTvsKO_48h_up,Il12rb1
WTvsKO_48h_up,Gpt2
WTvsKO_48h_up,Plekhg4
WTvsKO_48h_up,St3gal2
WTvsKO_48h_up,Gm26812
WTvsKO_48h_up,Gpr83
WTvsKO_48h_up,Gm47214
WTvsKO_48h_up,Gm5611
WTvsKO_48h_up,Sema7a
WTvsKO_48h_up,Adpgk
WTvsKO_48h_up,Gm23136
WTvsKO_48h_up,Rbpms2
WTvsKO_48h_up,Car12
WTvsKO_48h_up,Mei4
WTvsKO_48h_up,Cish
WTvsKO_48h_up,6430571L13Rik
WTvsKO_48h_up,Lrp11
WTvsKO_48h_up,Ptprk
WTvsKO_48h_up,Gm49339
WTvsKO_48h_up,Lilr4b
WTvsKO_48h_up,Lilrb4a
WTvsKO_48h_up,Gm9118
WTvsKO_48h_up,Pkib
WTvsKO_48h_up,Chchd10
WTvsKO_48h_up,Txnrd1
WTvsKO_48h_up,Fgd6
WTvsKO_48h_up,Tmcc3
WTvsKO_48h_up,Ifng
WTvsKO_48h_up,Gm49751
WTvsKO_48h_up,Mettl1
WTvsKO_48h_up,Gls2
WTvsKO_48h_up,Osm
WTvsKO_48h_up,Lif
WTvsKO_48h_up,Xbp1
WTvsKO_48h_up,Spred2
WTvsKO_48h_up,Hspd1-ps3
WTvsKO_48h_up,Fam71b
WTvsKO_48h_up,P4ha2
WTvsKO_48h_up,Gm12611
WTvsKO_48h_up,Tnfrsf13b
WTvsKO_48h_up,Adora2b
WTvsKO_48h_up,Coro6
WTvsKO_48h_up,Gm11714
WTvsKO_48h_up,Gm11655
WTvsKO_48h_up,Arsg
WTvsKO_48h_up,Pdia6
WTvsKO_48h_up,Sypl
WTvsKO_48h_up,Atxn7l1
WTvsKO_48h_up,Gm2027
WTvsKO_48h_up,Arhgap5
WTvsKO_48h_up,Gm17177
WTvsKO_48h_up,Klf6
WTvsKO_48h_up,Dip2c
WTvsKO_48h_up,Tcrg-C4
WTvsKO_48h_up,Gpld1
WTvsKO_48h_up,Dusp22
WTvsKO_48h_up,Irf4
WTvsKO_48h_up,Iars
WTvsKO_48h_up,Gadd45g
WTvsKO_48h_up,Gcnt4
WTvsKO_48h_up,Ercc8
WTvsKO_48h_up,Pck2
WTvsKO_48h_up,Mir17hg
WTvsKO_48h_up,Mir20a
WTvsKO_48h_up,Mir92-1
WTvsKO_48h_up,Gm49312
WTvsKO_48h_up,Gm41333
WTvsKO_48h_up,Syngr1
WTvsKO_48h_up,B130046B21Rik
WTvsKO_48h_up,Spats2
WTvsKO_48h_up,2900011O08Rik
