# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "16" "-t" "mRNA" "-f" "-O" "-g" "ID" "-p" "-B" "-C" "-a" "/gpfs/group/pipkin/hdiao/Exp337/codes_hpc/Mus_musculus.GRCm38.102.mRNA.simp.rmdup.srt.gff3" "-o" "/gpfs/group/pipkin/hdiao/Exp337/2_featureCounts/337_4_neg_mRNA.txt" "/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_4_srt_flt_neg_srt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_4_srt_flt_neg_srt.bam
Wnt6	1	74771892	74785322	+	13431	4
Wnt10a	1	74791516	74804179	+	12664	13
Cdk5r2	1	74854934	74857732	+	2799	0
Fev	1	74881509	74885419	-	3911	0
Cryba2	1	74889934	74893143	-	3210	1
Cfap65	1	74902071	74935599	-	33529	3
Ihh	1	74945315	74951672	-	6358	0
Nhej1	1	74967139	75046639	-	79501	11
Slc23a3	1	75125541	75133890	-	8350	0
Cnppd1	1	75134554	75142711	-	8158	4
Retreg2	1	75142778	75147913	+	5136	75
Zfand2b	1	75168646	75171629	+	2984	24
Abcb6	1	75171717	75180392	-	8676	6
Atg9a	1	75180860	75192196	-	11337	0
Ankzf1	1	75192160	75199387	+	7228	245
Glb1l	1	75198243	75210813	-	12571	53
Stk16	1	75210838	75215606	+	4769	111
Tuba4a	1	75214228	75219865	-	5638	24
A630095N17Rik	1	75220095	75232102	-	12008	5
Dnajb2	1	75236406	75245692	+	9287	73
Ptprn	1	75247027	75264502	-	17476	5
Resp18	1	75272199	75278415	-	6217	0
Dnpep	1	75307896	75317990	-	10095	0
Des	1	75360329	75368579	+	8251	2
Speg	1	75375297	75432320	+	57024	8
Gmppa	1	75435930	75443174	+	7245	211
Asic4	1	75450436	75474343	+	23908	6
Chpf	1	75474569	75479307	-	4739	4
Tmem198	1	75479532	75485705	+	6174	15
Obsl1	1	75485825	75506361	-	20537	4
Inha	1	75507077	75510366	+	3290	5
Stk11ip	1	75521529	75537335	+	15807	186
Slc4a3	1	75546266	75562172	+	15907	0
Epha4	1	77367185	77515088	-	147904	19
Pax3	1	78101267	78197134	-	95868	9
Sgpp2	1	78310345	78420289	+	109945	7
Farsb	1	78417975	78488897	-	70923	14
BC035947	1	78497026	78512158	-	15133	0
Mogat1	1	78510991	78538173	+	27183	2
Acsl3	1	78657825	78707743	+	49919	776
Utp14b	1	78658038	78671512	+	13475	408
Kcne4	1	78816758	78820028	+	3271	1
Scg2	1	79434669	79440120	-	5452	0
Ap1s3	1	79606876	79671972	-	65097	3
Wdfy1	1	79702262	79776143	-	73882	7
Mrpl44	1	79776018	79781445	+	5428	43
Serpine2	1	79794197	79861180	-	66984	3
Fam124b	1	80198706	80213944	-	15239	2
Cul3	1	80264923	80340480	-	75558	16
Gm45261	1	80449597	80461448	-	11852	83
Dock10	1	80501073	80758448	-	257376	133
Nyap2	1	81076950	81341764	+	264815	21
Irs1	1	82233101	82291416	-	58316	4
Gm9747	1	82233112	82235933	+	2822	0
Rhbdd1	1	82316452	82445366	+	128915	3137
Col4a4	1	82448423	82586849	-	138427	108
Col4a3	1	82586976	82722059	+	135084	10
Mff	1	82724890	82752394	+	27505	600
Tm4sf20	1	82756649	82768461	-	11813	49
Gm47791	1	82770824	82771243	-	420	0
Agfg1	1	82839483	82901182	+	61700	5463
A030005L19Rik	1	82913325	82914130	+	806	16
A030014E15Rik	1	82924917	82925712	+	796	2
Gm6217	1	82930571	82931399	-	829	0
A030003K21Rik	1	82942559	82943388	-	830	0
Gm7544	1	82955186	82956013	-	828	0
Gm47955	1	82960286	82960924	+	639	0
Gm47959	1	83000548	83001480	+	933	0
Slc19a3	1	83012523	83038448	-	25926	3
Krtap28	1	83041524	83061921	-	20398	1
Gm47969	1	83044932	83045946	+	1015	0
A030005K14Rik	1	83058286	83059378	-	1093	0
Ccl20	1	83116766	83119167	+	2402	0
Daw1	1	83159762	83210574	+	50813	1
Sphkap	1	83254139	83408200	-	154062	22
Pid1	1	84036296	84364180	-	327885	46
Dner	1	84369839	84696221	-	326383	45
Trip12	1	84721189	84840516	-	119328	27
Fbxo36	1	84839841	84900487	+	60647	207
Slc16a14	1	84905898	84935134	-	29237	3
AC167036.1	1	84958982	84964572	+	5591	1
AC167036.2	1	85027954	85028844	-	891	1
A530032D15Rik	1	85083069	85109853	-	26785	14
C130026I21Rik	1	85112267	85270566	-	158300	99
Gm7609	1	85199613	85213786	+	14174	6
AC147806.1	1	85484252	85485142	-	891	1
AC147806.2	1	85526602	85552178	+	25577	25
G530012D18Rik	1	85575676	85577295	+	1620	0
Sp110	1	85576899	85598817	-	21919	5
Sp140	1	85600378	85645037	+	44660	532
Sp100	1	85649988	85709998	+	60011	1659
A630001G21Rik	1	85717083	85778643	-	61561	36
Cab39	1	85793441	85851576	+	58136	3677
Itm2c	1	85894281	85908675	+	14395	186
4933407L21Rik	1	85928483	85940624	+	12142	4
Gpr55	1	85938318	85961007	-	22690	12
Spata3	1	86018068	86029958	+	11891	2
2810459M11Rik	1	86045863	86055456	+	9594	1
Psmd1	1	86064619	86139151	+	74533	1499
Htr2b	1	86099026	86111970	-	12945	372
Gm21972	1	86133637	86162788	+	29152	127
Armc9	1	86154798	86278284	+	123487	311
B3gnt7	1	86303234	86307305	+	4072	1
Ncl	1	86344719	86359400	-	14682	15
Nmur1	1	86386303	86426228	-	39926	11
Tex44	1	86426329	86428052	+	1724	0
Ptma	1	86526726	86530712	+	3987	664
Pde6d	1	86542994	86582629	-	39636	152
Cops7b	1	86582904	86609375	+	26472	434
Nppc	1	86666291	86670571	-	4281	4
Dis3l2	1	86703819	87050095	+	346277	3827
Alppl2	1	87086694	87089928	-	3235	0
Alpi	1	87098002	87101606	-	3605	0
Akp3	1	87125008	87127912	+	2905	0
Ecel1	1	87147655	87156521	-	8867	2
Prss56	1	87183313	87188405	+	5093	1
Chrnd	1	87190637	87200070	+	9434	0
Chrng	1	87204657	87212694	+	8038	1
Eif4e2	1	87213914	87240488	+	26575	754
Efhd1	1	87264363	87310839	+	46477	11
Gigyf2	1	87327003	87450796	+	123794	3962
Kcnj13	1	87386363	87394729	-	8367	323
Snorc	1	87470271	87475482	+	5212	1
Ngef	1	87476834	87573870	-	97037	15
Neu2	1	87509889	87597845	+	87957	16
Inpp5d	1	87620312	87720507	+	100196	3156
Atg16l1	1	87755870	87792428	+	36559	1795
Sag	1	87803680	87845158	+	41479	106
Dgkd	1	87853287	87945180	+	91894	7589
Usp40	1	87945119	88008551	-	63433	286
Ugt1a10	1	88055388	88219004	+	163617	39
Ugt1a9	1	88070800	88218997	+	148198	39
Ugt1a8	1	88087813	88219004	+	131192	34
Ugt1a7c	1	88095062	88220002	+	124941	33
Ugt1a6b	1	88103252	88219003	+	115752	28
Ugt1a6a	1	88134809	88218997	+	84189	22
Ugt1a5	1	88166012	88218997	+	52986	16
Ugt1a2	1	88200601	88218997	+	18397	7
Dnajb3	1	88204732	88205782	-	1051	0
Ugt1a1	1	88211959	88218997	+	7039	5
Mroh2a	1	88227020	88262289	+	35270	19
Hjurp	1	88262471	88277633	-	15163	6
Trpm8	1	88303283	88389293	+	86011	9
Spp2	1	88406961	88426438	+	19478	0
Glrp1	1	88499871	88510066	-	10196	3
Arl4c	1	88673125	88702221	-	29097	6
Sh3bp4	1	89070415	89155068	+	84654	43
Agap1	1	89454806	89897617	+	442812	119
Gbx2	1	89927956	89931179	-	3224	0
Asb18	1	89950220	90014666	-	64447	6
Iqca	1	90042132	90153401	-	111270	8
Ackr3	1	90203980	90216751	+	12772	1
Cops8	1	90602981	90613341	+	10361	211
Col6a3	1	90765923	90843971	-	78049	3
Mlph	1	90915085	90951142	+	36058	5
Prlh	1	90953108	90954027	+	920	0
Rab17	1	90958133	90969661	-	11529	2
Lrrfip1	1	90998737	91128944	+	130208	4653
Rbm44	1	91145101	91170795	+	25695	47
Ramp1	1	91179822	91225196	+	45375	137
Ube2f	1	91250311	91290337	+	40027	658
Scly	1	91298338	91321075	+	22738	351
Espnl	1	91322075	91348306	+	26232	14
Klhl30	1	91351016	91362416	+	11401	2
Erfe	1	91366430	91374217	+	7788	22
Ilkap	1	91373861	91398801	-	24941	11
Hes6	1	91411483	91413222	-	1740	1
Per2	1	91415982	91459324	-	43343	7
Traf3ip1	1	91494647	91529307	+	34661	233
Asb1	1	91540544	91559589	+	19046	94
Twist2	1	91801461	91848028	+	46568	6
Hdac4	1	91928779	92180341	-	251563	48
Ndufa10	1	92439010	92473860	-	34851	1
Olfr1416	1	92475925	92485113	-	9189	0
Olfr1415	1	92489101	92496101	-	7001	1
Olfr1414	1	92506366	92518661	-	12296	0
Olfr1413	1	92571322	92574397	+	3076	0
Olfr1412	1	92585779	92591375	+	5597	0
Olfr1411	1	92594411	92597753	+	3343	0
Olfr1410	1	92605782	92614806	+	9025	4
Olfr12	1	92617788	92623412	+	5625	1
Cops9	1	92637145	92641985	-	4841	0
Otos	1	92644218	92648841	-	4624	1
Gpc1	1	92831645	92860779	+	29135	92
Ankmy1	1	92859803	92902906	-	43104	6
Dusp28	1	92906981	92908435	+	1455	6
Rnpepl1	1	92910783	92924384	+	13602	322
Capn10	1	92934376	92947941	+	13566	119
Gpr35	1	92950865	92986391	+	35527	27
Aqp12	1	93006334	93012269	+	5936	0
Kif1a	1	93015464	93101951	-	86488	7
Agxt	1	93135240	93145421	+	10182	2
Mab21l4	1	93151349	93160948	-	9600	0
Crocc2	1	93168725	93231072	+	62348	5
Sned1	1	93235841	93301065	+	65225	7
Mterf4	1	93299211	93305915	-	6705	0
Pask	1	93308778	93343482	-	34705	21
Ppp1r7	1	93342854	93373489	+	30636	525
Ano7	1	93373930	93404303	+	30374	10
Hdlbp	1	93405940	93478815	-	72876	29
Septin2	1	93478964	93510260	+	31297	1244
Farp2	1	93512079	93621976	+	109898	232
Stk25	1	93619751	93658659	-	38909	8
Bok	1	93685660	93695764	+	10105	3
Thap4	1	93701935	93754864	-	52930	1
Atg4b	1	93751500	93790610	+	39111	733
Dtymk	1	93792576	93801934	-	9359	63
Ing5	1	93803965	93822101	+	18137	277
D2hgdh	1	93824909	93852348	+	27440	230
Gal3st2	1	93861346	93876494	+	15149	1
Gal3st2b	1	93918311	93942650	+	24340	12
Gal3st2c	1	93990509	94017147	+	26639	5
Neu4	1	94020451	94028334	+	7884	1
Pdcd1	1	94038305	94052553	-	14249	5
Fam174a	1	95313623	95335284	+	21662	99
