# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "16" "-t" "mRNA" "-f" "-O" "-g" "ID" "-p" "-B" "-C" "-a" "/gpfs/group/pipkin/hdiao/Exp337/codes_hpc/Mus_musculus.GRCm38.102.mRNA.simp.rmdup.srt.gff3" "-o" "/gpfs/group/pipkin/hdiao/Exp337/2_featureCounts/337_2_neg_mRNA.txt" "/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_2_srt_flt_neg_srt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_2_srt_flt_neg_srt.bam
Mettl21c	1	44009408	44020006	-	10599	168
Gm8251	1	44055872	44079746	-	23875	12
Tex30	1	44086613	44102441	-	15829	7
Poglut2	1	44106546	44118808	-	12263	10
Bivm	1	44118957	44144770	+	25814	51
Ercc5	1	44147847	44181260	+	33414	190
Mettl21e	1	44204070	44218961	-	14892	28
Gulp1	1	44551511	44796838	+	245328	185
Col3a1	1	45311538	45349706	+	38169	22
Col5a2	1	45374321	45503282	-	128962	99
Wdr75	1	45795166	45823619	+	28454	1159
Gm5269	1	45889941	45890078	-	138	0
Slc40a1	1	45908068	45926519	-	18452	11
Dnah7b	1	46066738	46373550	+	306813	244
Dnah7c	1	46425592	46807476	+	381885	328
Slc39a10	1	46807544	46892852	-	85309	83
Hspe1	1	47112139	55091307	+	7979169	14171
Tmeff2	1	50909962	51187270	+	277309	217
Cavin2	1	51289126	51302960	+	13835	8
Nabp1	1	51465862	51478425	-	12564	13
Myo1b	1	51749765	51916071	-	166307	116
Stat4	1	51987148	52107189	+	120042	915
Stat1	1	52119440	52161865	+	42426	4941
Gls	1	52163448	52233232	-	69785	899
Nab1	1	52457294	52500679	-	43386	49
Nemp2	1	52630703	52651919	+	21217	51
Mfsd6	1	52656286	52727462	-	71177	51
Inpp1	1	52785427	52817688	-	32262	22
Hibch	1	52845013	52920986	+	75974	216
1700019D03Rik	1	52922324	53020179	-	97856	95
