# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "16" "-t" "mRNA" "-f" "-O" "-g" "ID" "-p" "-B" "-C" "-a" "/gpfs/group/pipkin/hdiao/Exp337/codes_hpc/Mus_musculus.GRCm38.102.mRNA.simp.rmdup.srt.gff3" "-o" "/gpfs/group/pipkin/hdiao/Exp337/2_featureCounts/337_24_pos_mRNA.txt" "/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_24_srt_flt_pos_srt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_24_srt_flt_pos_srt.bam
Stat1	1	52119440	52161865	+	42426	19
Gls	1	52163448	52233232	-	69785	2154
Nab1	1	52457294	52500679	-	43386	659
Nemp2	1	52630703	52651919	+	21217	11
Mfsd6	1	52656286	52727462	-	71177	337
Inpp1	1	52785427	52817688	-	32262	420
Hibch	1	52845013	52920986	+	75974	9
1700019D03Rik	1	52922324	53020179	-	97856	23
Mstn	1	53061640	53068079	+	6440	0
1700019A02Rik	1	53158577	53187636	-	29060	89
Pms1	1	53189187	53297018	-	107832	1214
Ormdl1	1	53297095	53310309	+	13215	0
Gm28778	1	53297111	53318035	+	20925	0
Osgepl1	1	53313624	53326343	+	12720	0
Gm28551	1	53325507	53352667	-	27161	114
Asnsd1	1	53344617	53352752	-	8136	89
Gm50478	1	53348479	53352619	-	4141	29
Dnah7a	1	53397006	53706761	-	309756	74
Stk17b	1	53755506	53785224	-	29719	1600
Hecw2	1	53806876	54195034	-	388159	35
Ccdc150	1	54250683	54368727	+	118045	32
Gtf3c3	1	54396004	54438971	-	42968	420
Gm34066	1	54443404	54456763	-	13360	1
Pgap1	1	54472994	54557682	-	84689	374
Ankrd44	1	54645340	54926387	-	281048	13185
Sf3b1	1	54985169	55027481	-	42313	1961
Coq10b	1	55052770	55072702	+	19933	0
Hspd1	1	55077835	55088243	-	10409	407
Mob4	1	55131231	55154899	+	23669	0
Rftn2	1	55170159	55226782	-	56624	35
Mars2	1	55237177	55248470	+	11294	12
Boll	1	55248658	55363469	-	114812	100
Plcl1	1	55405921	55754285	+	348365	26
Hsfy2	1	56636044	56637435	-	1392	0
Satb2	1	56793981	56978650	-	184670	16
1700066M21Rik	1	57377620	57385423	+	7804	4
Tyw5	1	57388237	57407101	-	18865	145
Maip1	1	57406328	57417953	+	11626	3
Spats2l	1	57774162	57948394	+	174233	6
Kctd18	1	57955101	58018956	-	63856	162
Sgo2a	1	57995971	58025899	+	29929	0
Aox1	1	58029931	58106413	+	76483	3
Aox3	1	58113136	58200698	+	87563	0
Aox4	1	58210397	58268597	+	58201	6
Aox2	1	58278326	58380259	+	101934	24
Bzw1	1	58392898	58407353	+	14456	18
Clk1	1	58412000	58424066	-	12067	1205
Ppil3	1	58430994	58445486	-	14493	134
Nif3l1	1	58445151	58481816	+	36666	239
Orc2	1	58462771	58505109	-	42339	546
Fam126b	1	58522806	58586323	-	63518	372
Ndufb3	1	58586384	58595964	+	9581	0
