"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSE00000385459",12.3157437432056,0.120776971288615,1.04563639873037,0.115505706797568,0.908044297383657,0.997483135298548
"ENSMUSE00000385719",63.6899751108145,0.297871861143891,0.512212193781754,0.581539964803745,0.56087659135649,0.974591592159382
"ENSMUSE00000385763",2.12750953641746,-2.14772769875201,1.65673567608815,-1.29636110922847,0.194851104178572,NA
"ENSMUSE00000385770",2.8694530259003,-0.452530656787511,1.76537294908083,-0.256337142258313,0.797690519708808,NA
"ENSMUSE00000386110",7.26028052025065,-0.394494885529046,1.10312645193954,-0.357615289557637,0.72063123463571,0.984389530400172
"ENSMUSE00000386116",1.20382056863378,-2.14555660971241,1.96386264687589,-1.09251867136715,0.274605188197222,NA
"ENSMUSE00000386121",2.18781235183528,-0.823914855533446,1.08693885168867,-0.758013989704582,0.448442607800538,NA
"ENSMUSE00000386255",1.1115268677273,0.68173326677677,1.76645869015619,0.385932187701763,0.699546891514493,NA
"ENSMUSE00000386567",3.09989052611158,0.296714551398338,1.47364446796159,0.201347446992263,0.840426904820647,NA
"ENSMUSE00000386648",3.23357568525212,0.131432847010667,1.20132965040292,0.109406145903903,0.912880359286168,NA
"ENSMUSE00000386788",19.9672893444909,-5.31607543778676,0.745241150110246,-7.13336272024208,9.794599410177e-13,7.06435482459016e-10
"ENSMUSE00000386865",0.559107568712798,0.971424362172071,4.38856066970069,0.221353750189427,0.824817001185455,NA
"ENSMUSE00000387097",15.4396429920841,0.0646357671099509,0.518137722126282,0.124746306531601,0.900724396393634,0.995897841828053
"ENSMUSE00000387425",1.88248169050317,-0.32115254585673,2.08084455580217,-0.15433759574267,0.877343555315168,NA
"ENSMUSE00000387504",1.42702562255972,-0.0300176351086781,2.11284334731265,-0.0142072222944772,0.988664658011288,NA
"ENSMUSE00000387666",0.978501598869849,0.12556652435585,2.29835083804006,0.0546333145826108,0.956430597185208,NA
"ENSMUSE00000388070",2.46230975482732,1.77267359198741,1.86694981151234,0.949502542091068,0.342365079716934,NA
"ENSMUSE00000388138",12.7135069164947,-0.0749139026469289,0.872396093891865,-0.085871432909252,0.931568620842177,0.998106181359062
"ENSMUSE00000388495",1.53693550312572,-1.44106586665119,1.75829484318604,-0.819581466803355,0.41245474246836,NA
"ENSMUSE00000388508",1.05405719992276,-1.88721207893451,2.73494412692705,-0.690036794665695,0.490171048826941,NA
"ENSMUSE00000388624",13.9734742405411,0.223864255797733,0.91642845025836,0.24427903316906,0.807014720784917,0.988832722746612
"ENSMUSE00000388647",39.3341069499022,-1.51589990103944,1.29539475024099,-1.17022235944482,0.241911497018493,0.918658647853942
"ENSMUSE00000388801",7.34132229778988,-1.75786873448859,1.37026148711858,-1.28287100747834,0.199537271748873,0.900200462362473
"ENSMUSE00000388803",2.0730620515693,-3.34773988216667,2.19520500364105,-1.52502380261251,0.127253160839816,NA
"ENSMUSE00000388905",12.3999849618733,-1.31046588908081,0.874431879176372,-1.49864834561514,0.133964883660196,0.828782035796283
"ENSMUSE00000388984",2.80948441985213,3.24297327537698,1.54461087309192,2.09954062338392,0.0357692706930628,NA
"ENSMUSE00000389145",484.366288584123,0.131324463479703,0.451729093123372,0.290715088930163,0.771269230498628,0.985302317771996
"ENSMUSE00000389247",83.9346920757872,0.601469322019968,0.258339287919042,2.32821467793336,0.019900707174365,0.374436131726368
"ENSMUSE00000389466",34.6119594748053,0.344565243095367,0.434017745422486,0.79389667065331,0.427255588065053,0.965919500463496
"ENSMUSE00000389667",0.974529975524745,-0.952156438933702,2.60552758675777,-0.365437097566306,0.714785153367977,NA
"ENSMUSE00000389756",1.23932122633343,0,2.3619040138056,0,1,NA
"ENSMUSE00000389802",7.26794188781763,-0.684194322251074,0.974522945538235,-0.702081285395686,0.482628472645284,0.965919500463496
"ENSMUSE00000389895",2.45385940341391,1.4242306665745,1.51071325210997,0.942753804923156,0.345806845295109,NA
"ENSMUSE00000389981",2.13731411346236,-3.36903662678367,1.97205461924311,-1.7083891054076,0.0875641674117974,NA
"ENSMUSE00000390065",10.4971925465709,0.30683161580189,0.568476562593848,0.539743651702854,0.589373831681156,0.974591592159382
"ENSMUSE00000390085",2.56915556990642,0.581244280702768,1.93691276397028,0.300088001646153,0.764110030997081,NA
"ENSMUSE00000390112",0.880910733526754,-2.21384326107839,2.38780590737728,-0.927145399145957,0.353851047359271,NA
"ENSMUSE00000390115",3.28700646564647,1.01028934910312,1.24344156292915,0.812494434176067,0.416507978991632,NA
"ENSMUSE00000390396",2.56670370766717,-0.384027903198348,1.45870008111274,-0.263267211794079,0.792344629700514,NA
"ENSMUSE00000390461",0.934440062060104,-0.952155642318014,2.90895908516812,-0.32731833430479,0.743427126754374,NA
"ENSMUSE00000390662",1.08882535618452,1.33276456351881,2.44484525390253,0.545132482880629,0.585662403428689,NA
"ENSMUSE00000390876",8.35723641673854,-0.153678297109068,0.657364636685028,-0.233779379864485,0.815156258523811,0.988832722746612
"ENSMUSE00000390913",3.57499870188142,-1.61778502861501,1.67164903700622,-0.967777920365585,0.333155293132036,0.936186004037
"ENSMUSE00000390996",15.6844402599135,-1.07701122784274,1.08849095690039,-0.989453537500818,0.322441291595613,0.936186004037
"ENSMUSE00000391152",3.59472270959207,-3.23803717487092,1.72035597433422,-1.88219021131603,0.0598101942450092,0.62419050416214
"ENSMUSE00000391391",9.56165806113432,0.345685258881386,0.719717073980344,0.480307153156168,0.631009003258759,0.977166384541878
"ENSMUSE00000391538",13.2419580609272,0.650375420095587,0.68556992047257,0.948663879020942,0.342791590741238,0.936186004037
"ENSMUSE00000391719",26.0988869438004,0.731075357264018,0.540256074695036,1.35320154924069,0.175991250476312,0.875222583745207
"ENSMUSE00000391738",57.3854190652101,-0.252166582465437,0.346970525984003,-0.726766579813364,0.467368959258071,0.965919500463496
"ENSMUSE00000391759",1.08243775865119,0.366289895420344,2.30145126874001,0.159156050964694,0.873545928673032,NA
"ENSMUSE00000391789",9.51195499349907,-0.0392980457028595,0.67274575280608,-0.0584144092161772,0.953418537476375,0.998106181359062
"ENSMUSE00000391826",12.3231662042923,-1.47285617770121,0.609367244700026,-2.41702551377906,0.0156479202645604,0.328720266722743
"ENSMUSE00000392334",90.2409155793115,-0.347947832634221,0.3521617863176,-0.988034040469176,0.323135977210213,0.936186004037
"ENSMUSE00000392350",0.984232363681641,-2.529755030768,2.93654964569473,-0.861471909551017,0.388978185852222,NA
"ENSMUSE00000392661",56.2762277055309,-0.251548294216224,0.512405832455365,-0.490916141627126,0.623485759932553,0.976216395561684
"ENSMUSE00000392806",24.6305419179467,-0.0213035245283501,0.903333166867882,-0.0235832418311569,0.981185039515956,0.998422881047427
"ENSMUSE00000392835",2.11931872330487,-0.666500292553548,1.41526997665576,-0.470935089097608,0.637687089433689,NA
"ENSMUSE00000392883",3.89992360410358,-1.53582179317769,1.03773159422731,-1.47997979604857,0.138878638588078,0.836173990122744
"ENSMUSE00000392903",43.1467862872652,0.0139077984540379,0.423664918773108,0.0328273544439636,0.973812264272582,0.998106181359062
"ENSMUSE00000392958",6.34328725211096,-0.852882672116768,1.2378113518514,-0.689024762005219,0.490807685041287,0.965919500463496
"ENSMUSE00000393041",14.7601605836594,1.02640002541471,0.711747964783186,1.44208354108519,0.14927880761268,0.841731123713693
"ENSMUSE00000393352",1.64078819662391,1.15985687510053,1.53489078720019,0.755660848819242,0.44985256322766,NA
"ENSMUSE00000393742",36.9030022730826,2.60051699800952,0.499499557426606,5.2062448491591,1.92700346713325e-07,4.76520428801095e-05
"ENSMUSE00000393874",0.746337150743394,0.13542442766495,2.66077933338866,0.0508965271811846,0.959407972833075,NA
"ENSMUSE00000394215",1.71066746267166,1.62920756742467,1.70504611558596,0.955521116134016,0.339314232047437,NA
"ENSMUSE00000394314",0.754173287688222,-0.952153342242886,3.64599378877152,-0.261150566184509,0.793976398041817,NA
"ENSMUSE00000394394",6.72613671610767,-1.68797415401508,1.15277709746108,-1.46426760015682,0.143120846131433,0.839672437982788
"ENSMUSE00000394618",3.20345414607292,-1.59828039904759,1.73595448262197,-0.920692572902927,0.357210954910508,NA
"ENSMUSE00000394670",2.66591445428403,0.147081153339384,1.52288351693661,0.0965806981976191,0.923059385431934,NA
"ENSMUSE00000394735",4.00604564992329,1.76324741312413,1.18148005143057,1.49240557298377,0.135592854943284,0.831281036379003
"ENSMUSE00000395020",2.76557920571775,-0.31012958364872,1.50939846014774,-0.205465681751368,0.837208308080008,NA
"ENSMUSE00000395363",43.2360222261842,0.132768731999028,0.413354363374245,0.321198331899114,0.748060096180023,0.984463155228017
"ENSMUSE00000395431",0.480365299421303,1.89457437593264,4.055888415686,0.467116986898714,0.640416181436039,NA
"ENSMUSE00000395630",7.17912116929508,-0.0605919894164276,0.919055048332747,-0.0659285747098036,0.94743469073917,0.998106181359062
"ENSMUSE00000396017",1.58485431929573,-1.81046257741995,2.11818767279137,-0.854722459523194,0.392704813772816,NA
"ENSMUSE00000396143",22.0587987692663,-1.46501404322008,1.18360962308354,-1.23775104109362,0.21580838708539,0.907606691908613
"ENSMUSE00000396265",6.01001990397868,-1.18179934693328,0.695553544119341,-1.6990774569765,0.0893045902784985,0.725720684426731
"ENSMUSE00000396330",1.0469413121881,-2.58760611562874,2.5498306844337,-1.01481487826845,0.310194080153644,NA
"ENSMUSE00000396479",7.78914929049782,-0.587311169346276,0.79530347752119,-0.738474288050158,0.460226286087409,0.965919500463496
"ENSMUSE00000396831",9.41678174373396,-1.40612208476789,0.899172923661294,-1.56379495841843,0.117865728659234,0.793121880247488
"ENSMUSE00000396839",3.63365278184579,-1.9611981495532,1.7241381827743,-1.13749476065628,0.255331513614306,0.92191967902063
"ENSMUSE00000396892",10.382385677484,0.520951812778596,0.689902437892611,0.755109395423947,0.450183346247196,0.965919500463496
"ENSMUSE00000396973",59.2617165490578,0.233216277334847,0.342184559811983,0.681551141474618,0.495522818319081,0.965919500463496
